Entidad;Nit Entidad;Departamento Entidad;Ciudad Entidad;;
MUNICIPIO DE SANTA FE DE ANTIOQUIA;890907569;No Definido;No Definido;;
EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DE VALPARAISO S.A.S ESP;900477448;No Definido;No Definido;;
CONTRALORIA DEPARTAMENTAL DEL CAQUETA;891190246;Caquetá;Florencia;;
ALCALDIA MUNICIPIO PAIME;899999704;Distrito Capital de Bogotá;No Definido;;
MUNICIPIO DE SANTIAGO DE CALI - SECRETARIA DE DESARROLLO ECONOMICO;890399011;Valle del Cauca;Cali;;
GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE DESARROLLO SOCIAL Y PARTICIPACION;8903990291;Valle del Cauca;Cali;;
MUNICIPIO DE SANTIAGO DE CALI - SECRETARÍA DE GESTIÓN DEL RIESGO DE EMERGENCIAS Y DESASTRE;890399011;Valle del Cauca;Cali;;
CONCEJO MUNICIPAL DE SUAREZ TOLIMA;809005520;No Definido;No Definido;;
SENA REGIONAL CUNDINAMARCA Grupo Administrativo CBA;899999034;Cundinamarca;Mosquera;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE RIOSUCIO CALDAS;810001055;Caldas;Riosucio;;
CENTRAL ADMINISTRATIVA  Y CONTABLE - CENAC- POPAYAN;900156335;Cauca;Popayán;;
Rama Judicial  Dirección Seccional de Administración Judicial de Medellín;800165798;Antioquia;Medellín;;
INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR REBECA SIERRA CARDONA;890803662;No Definido;No Definido;;
GESTORA URBANA BANCO INMOBILIARIO DE IBAGUE;809009742;No Definido;No Definido;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE FLORENCIA - INPEC;828000309;Caquetá;Florencia;;
SENA REGIONAL NARIÑO Grupo Administrativo CAPCP;899999034;Nariño;Tumaco;;
BATALLON DE ABASTECIMIENTOS Nº 1;800245010;Distrito Capital de Bogotá;Bogotá;;
ALCALDIA MUNICIPAL DE SANTA BARBARA;8909803441;No Definido;No Definido;;
CORPORACION AUTONOMA REGIONAL DE SANTANDER CAS;804000292;Santander;San Gil;;
ALCALDÍA MUNICIPIO DE PALMIRA;891380007;Valle del Cauca;Palmira;;
GOBERNACION DEL MAGDALENA;800103920;Magdalena;Santa Marta;;
MUNICIPIO DE CORINTO;891501283;Cauca;Corinto;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA;900168448;Chocó;Istmina;;
INSTITUCION EDUCATIVA DEPARTAMETAL GENERAL SANTANDER;899999724;Cundinamarca;Sibaté;;
PARQUES NACIONALES NATURALES DE COLOMBIA;830016624;Distrito Capital de Bogotá;No Definido;;
CONTRALORIA GENERAL DE ANTIOQUIA;811000372;No Definido;No Definido;;
ALCALDÍA MUNICIPAL DE BELMIRA ANTIOQUIA;890981880;No Definido;No Definido;;
MUNICIPIO DE CERINZA;891857805;Boyacá;Cerinza;;
MINISTERIO DE TRABAJO VICHADA;842000181;Vichada;Puerto Carreño;;
CONTRALORIA GENERAL DE LA REPUBLICA -CGR- GERENCIA DEPARTAMENTAL QUINDIO;899999067;Quindío;Armenia;;
CENTRAL ADMINISTRATIVA Y CONTABLE - CENAC -TUNJA;800130646;Boyacá;Tunja;;
BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA NO 1;823001882;Sucre;Corozal;;
MUNICIPIO DE FREDONIA;890980848;No Definido;No Definido;;
ALCALDIA MUNICIPAL DE BARBOSA SANTANDER;890206033;No Definido;No Definido;;
ALCALDIA SAN PABLO DE BORBUR;891801369;Boyacá;San Pablo De Borbur;;
ALCALDIA MUNICIPAL DE SABANALARGA;800094844;No Definido;No Definido;;
PATRIMONIO AUTÓNOMO FONDO NACIONAL DEL TURISMO FONTUR;900649119;Distrito Capital de Bogotá;Bogotá;;
CORPORACIÓN AUTONOMA REGIONAL DEL VALLE DEL CAUCA;890399002;Valle del Cauca;Cali;;
EMPRESA DE TRANSPORTE DEL TERCER MILENIO TRANSMILENIO S. A.;830063506;Distrito Capital de Bogotá;Bogotá;;
SECRETARIA DE AMBIENTE Y DESARROLLO SOSTENIBLE;8903990295;Valle del Cauca;Cali;;
GOBERNACION DEL HUILA;800103913;Huila;Neiva;;
ALCALDÍA MUNICIPAL DE SAMANÁ;890801149;Caldas;Samaná;;
SENA REGIONAL HUILA Grupo Administrativo Mixto Neiva;899999034;Huila;Neiva;;
ARMADA NACIONAL JEFATURA DE DESARROLO HUMANO Y FAMILIA;800141644;Distrito Capital de Bogotá;Bogotá;;
AGENCIA DE DESARROLLO RURAL;900948958;No Definido;No Definido;;
UNIDAD ADMINISTRATIVA ESPECIAL JUNTA CENTRAL DE CONTADORES;900180739;Distrito Capital de Bogotá;No Definido;;
ALCALDIA MUNICIPIO DE SANTANDER DE QUILICHAO;891500269;No Definido;No Definido;;
ALCALDÍA MUNICIPAL DE PATÍA;891502194;Cauca;Patía;;
MUNICIPIO DE TANGUA;800099151;Nariño;Tangua;;
MUNICIPIO DE LA UVITA;891856257;No Definido;No Definido;;
SOCIEDAD FIDUCIARIA DE DESARROLLO AGROPECUARIO S.A.;8001599980;Distrito Capital de Bogotá;Bogotá;;
ALCALDIA DE GAMA;800094684;No Definido;No Definido;;
COLEGIO DISTRITAL REPUBLICA DE COLOMBIA;860532330;Distrito Capital de Bogotá;Bogotá;;
INSTITUCION EDUCATIVA HERNANDO VELEZ MARULANDA;891411960;Risaralda;Pereira;;
ESCUELA MILITAR DE AVIACION;800141621;Distrito Capital de Bogotá;Bogotá;;
INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL ARAUCA;899999069;Arauca;Arauca;;
CORPORACIÓN AUTÓNOMA REGIONAL PARA EL DESARROLLO SOSTENIBLE DEL CHOCO;899999238;Chocó;Quibdó;;
INSTITUTO MUNICIPAL PARA EL DEPORTE Y LA RECREACION DE IBAGUE;900406856;Tolima;Ibagué;;
PERSONERIA MUNICIPAL DE LA TEBAIDA;800255176;Quindío;La Tebaida;;
EMPRESA SOCIAL DEL ESTADO HOSPITAL GERIATRICO Y ANCIANATO SAN MIGUEL;890303448;Valle del Cauca;Cali;;
SENA REGIONAL RISARALDA Grupo de Apoyo Administrativo Mixto;899999034;Risaralda;Pereira;;
UNIDAD ESPECIAL DE CATASTRO;8903990295;Valle del Cauca;Cali;;
FINANCIERA DE DESARROLLO TERRITORIAL S.A.;800096329;No Definido;No Definido;;
ESAP TERRITORIAL ATLÁNTICO;800117522;Atlántico;Barranquilla;;
CENTRO MUNICIPAL PARA EL CONTROL DE LA MOVILIDAD LA UNION NARIÑO;901073523;Nariño;La Unión;;
BATALLON DE APOYO Y SOPORTE PARA EL COMBATE No 22;900364348;No Definido;No Definido;;
PERSONERÍA MUNICIPAL DE CHOCONTÁ;899999357;Cundinamarca;Chocontá;;
SOCIEDAD DE ACTIVOS ESPECIALES SAS;900265408;No Definido;No Definido;;
INPEC-CÁRCEL Y PENITENCIARIA DE MEDIA SEGURIDAD PARA MUJERES DE BUCARAMANGA;804003138;Santander;Bucaramanga;;
UNIDAD ADMINISTRATIVA ESPECIAL CUERPO OFICIAL DE BOMBEROS DE BOGOTA;899999061;No Definido;No Definido;;
BATALLÓN DE INGENIEROS No 18 GENERAL RAFAEL NAVAS PARDO;834000487;Arauca;Tame;;
PERSONERIA MUNICIPAL DE CHIMICHAGUA;824000552;Cesar;Chimichagua;;
MUNICIPIO DE SANTIAGO DE CALI - DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO E INNOVACION INSTITUCIONAL;890399011;No Definido;No Definido;;
MUNICIPIO DE EL GUAMO TOLIMA;890702015;No Definido;No Definido;;
REGIONAL DE ASEGURAMIENTO EN SALUD No 3;900339410;Risaralda;Pereira;;
Rama Judicial  Dirección Seccional de Administración Judicial de Montería;800165860;Córdoba;Montería;;
INSTITUTO COLOMBIANO AGROPUARIO- SECCIONAL LA GUAJIRA;899999069;La Guajira;Riohacha;;
ALCALDIA MUNICIPAL ORITO;800102896;No Definido;No Definido;;
DISPENSARIO MEDICO ORIENTE;830039670;Meta;Villavicencio;;
SECRETARIA DISTRITAL DE GOBIERNO;899999061;No Definido;No Definido;;
AUTORIDAD NACIONAL DE ACUICULTURA Y PESCA;900479669;Distrito Capital de Bogotá;Bogotá;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE EL BORDO;817001054;Cauca;Patía;;
CENTRAL ADMINISTRATIVA Y CONTABLE - CENAC- VALLEDUPAR;900059309;Cesar;Valledupar;;
BATALLÓN DE APOYO DE SERVICIOS PARA EL COMBATE N.° 27;8300396705;Putumayo;No Definido;;
REGIONAL DE ASEGURAMIENTO EN SALUD No. 5;804012688;Santander;Bucaramanga;;
ICBF REGIONAL QUINDIO;899999239;Quindío;Armenia;;
ESTABLECIMIENTO PENITENCIARIO CARCELARIO DE MEDIANA SEGURIDAD CARCEL DE BOLIVAR;811010098;No Definido;No Definido;;
ARTESANIAS DE COLOMBIA S.A;860007887;No Definido;No Definido;;
MUNICIPIO DE SARAVENA;800102799;No Definido;No Definido;;
INSTITUCION EDUCATIVA MUNICIPAL GUILLERMO QUEVEDO ZORNOZA;832002561;Cundinamarca;Zipaquirá;;
INSTITUTO AMAZÓNICO DE INVESTIGACIONES CIENTÍFICAS SINCHI;860061110;Distrito Capital de Bogotá;No Definido;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD CARCELARIA DE BOLIVAR CAUCA;900003814;Cauca;Bolívar;;
CORPORACION AUTONOMA REGIONAL DE RISARALDA;891410354;Risaralda;Pereira;;
HOSPITAL REGIONAL DE LA ORINOQUIA EMPRESA SOCIAL DEL ESTADO;891855029;Casanare;Yopal;;
ALCALDIA MUNICIPAL DE CHINCHINA;890801133;No Definido;No Definido;;
SECRETARÍA GENERAL DE LA ALCALDÍA MAYOR DE BOGOTÁ;899999061;No Definido;No Definido;;
FABRICA DE LICORES DEL TOLIMA;890704763;Tolima;Ibagué;;
ESCUELA NACIONAL DEL  DEPORTE;805001868;Valle del Cauca;Cali;;
MUNICIPIO DE SAN FRANCISCO;899999173;Cundinamarca;San Francisco;;
PERSONERIA MUNICIPAL DE PALOCABILDO;809003402;Tolima;Palocabildo;;
CORPORACIÓN AUTÓNOMA REGIONAL DEL CANAL DEL DIQUE;800254453;Bolívar;Cartagena;;
ICBF REGIONAL CAUCA;899999239;Cauca;Popayán;;
INSTITUCIÓN EDUCATIVA MUNICIPAL LA VICTORIA;814006536;Nariño;Pasto;;
INPEC ESTABLECIMIENTO CARCELARIO BARRANQUILLA - JYP;890102201;Atlántico;Barranquilla;;
FONDO ROTATORIO DE LA REGISTRADURIA;899999737;No Definido;No Definido;;
ALCALDIA MUNICIPIO DE SATIVASUR;8000994412;Boyacá;Sativasur;;
APOYO LOGISTICO COMANDO EJERCITO;8001306324;Distrito Capital de Bogotá;No Definido;;
CENTRAL ADMINISTRATIVA Y CONTABLE TELEMATICA;900332546;No Definido;No Definido;;
ADMINISTRACIÓN TEMPORAL PARA EL SECTOR AGUA POTABLE Y SANEAMIENTO BÁSICO;892115015;La Guajira;Riohacha;;
MUNICIPIO DE CHALAN;892200740;Sucre;No Definido;;
HOSPITAL UNIVERSITARIO DE SINCELEJO-ESE;892280033;Sucre;Sincelejo;;
INSTITUTO PARA EL DESARROLLO DE ANTIOQUIA IDEA;8909801792;No Definido;No Definido;;
MUNICIPIO DE SANTA ROSA;890481343;No Definido;No Definido;;
MUNICIPIO DE TENZA BOYACA;800019709;No Definido;No Definido;;
DIRECCIÓN TERRITORIAL DE CALDAS MINISTERIO DE TRABAJO;810004736;Caldas;Manizales;;
AUDITORÍA GENERAL DE LA REPÚBLICA;830065741;No Definido;No Definido;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO CARTAGO;836000147;Distrito Capital de Bogotá;Bogotá;;
HOSPITAL DEPARTAMENTAL UNIVERSITARIO SANTA SOFIA DE CALDAS;890801099;Caldas;Manizales;;
CANAL REGIONAL DE TELEVISION TEVEANDINA LTDA;830005370;No Definido;No Definido;;
DEPARTAMENTO DE ANTIOQUIA;890900286;Antioquia;Medellín;;
MUNICIPIO DE SANTIAGO DE CALI  - SECRETARIA DE CULTURA;890399011;Valle del Cauca;Cali;;
MINISTERIO DEL TRABAJO DIRECCIÓN TERRITORIAL DE ANTIOQUIA;811038085;Antioquia;Medellín;;
SENA REGIONAL ARAUCA Grupo de Apoyo Administrativo Mixto;899999034;Arauca;Arauca;;
UNIDAD PRESTADORA DE SALUD BOGOTÁ;901361596;Distrito Capital de Bogotá;Bogotá;;
BATALLON DE APOYO Y SERVICIOS PARA EL COMBATE No. 14;800131115;Antioquia;Puerto Berrío;;
SECRETARIA DISTRITAL DE AMBIENTE;899999061;Distrito Capital de Bogotá;No Definido;;
Rama Judicial  Dirección Seccional de Administración Judicial de Santa Marta;800165868;Magdalena;Santa Marta;;
ALCALDIA MUNICIPIO DE RICAURTE;890680059;Cundinamarca;Ricaurte;;
SUPERINTENDENCIA DE TRANSPORTE;800170433;Arauca;Arauca;;
ALCALDIA DISTRITAL BARRANCABERMEJA;890201900;Santander;Barrancabermeja;;
ICBF RISARALDA;899999239;Risaralda;No Definido;;
SENA REGIONAL ANTIOQUIA Grupo Administrativo CRNR;899999034;Antioquia;Caldas;;
MUNICIPIO DE PIJAO;890001181;Quindío;Pijao;;
MUNICIPIO DE VIRACACHA;891801347;No Definido;No Definido;;
DEPARTAMENTO ADMINISTRATIVO DE LA FUNCIÓN PÚBLICA;899999020;Distrito Capital de Bogotá;No Definido;;
INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL SANTA ROSA;900046086;No Definido;No Definido;;
INSTITUCION EDUCATIVA MANUEL ANTONIO DAVILA;8921152774;La Guajira;San Juan Del Cesar;;
INSTITUCION EDUCATIVA MUNICIPAL TECNICO INDUSTRIAL;800170903;Cundinamarca;Zipaquirá;;
ALCALDIA MUNICIPIO CARTAGENA DEL CHAIRA;800095754;No Definido;No Definido;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PEREIRA;816001832;Distrito Capital de Bogotá;Bogotá;;
PERSONERIA MUNICIPAL DE GIRARDOT;808001310;Cundinamarca;Girardot;;
INSTITUCION EDUCATIVA BOJACA;832005913;Cundinamarca;Chía;;
INSTITUTO DE FINANCIAMIENTO; PROMOCION Y DESARROLLO DE CALDAS;8908060063;Caldas;Manizales;
CORPORACIÓN AUTÓNOMA REGIONAL DE LA ORINOQUIA;832000283;Casanare;Yopal;;
SECRETARIA GENERAL- GOBERNACION DEL VALLE;8903990295;Valle del Cauca;Cali;;
GOBERNACION DEL VALLE - OFICINA DE CONTROL DISCIPLINARIO INTERNO;890399029;Valle del Cauca;Cali;;
ESE HOSPITAL MANUEL URIBE ANGEL;890906347;Antioquia;Envigado;;
ENTIDAD DE GESTION ADMINISTRATIVA Y TECNICA;901036590;Distrito Capital de Bogotá;Bogotá;;
DIRECCION DE IMPUESTOS Y ADUANAS NACIONALES;800197268;Distrito Capital de Bogotá;No Definido;;
CAMARA DE REPRESENTANTES;899999098;Distrito Capital de Bogotá;Bogotá;;
ESAP TERRITORIAL TOLIMA;800117541;Tolima;Ibagué;;
Secretaria de Desarrollo Economico;8903990295;Valle del Cauca;Cali;;
FABRICA DE LICORES Y ALCOHOLES DE ANTIOQUIA;9014367751;Antioquia;Itagui;;
MUNICIPIO DE JERICO - BOYACA;891856593;No Definido;No Definido;;
INSTITUTO DE TRANSITO DEL ATLANTICO;800115102;No Definido;No Definido;;
BATALLON DE APOYO Y SERVICIOS PARA EL COMBATE NO 27;846000064;Putumayo;No Definido;;
MUNICIPIO DE FIRAVITOBA;891856288;No Definido;No Definido;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD CARCELARIO DE GIRARDOT;808002121;No Definido;No Definido;;
SECRETARIA DE HACIENDA DE CUNDINAMARCA;899999114;No Definido;No Definido;;
ALCALDIA MUNICIPAL DE ALBANIA;800099455;Santander;Albania;;
SECRETARÍA DISTRITAL DE CULTURA; RECREACIÓN Y DEPORTE;899999061;No Definido;No Definido;
ESAP TERRITORIAL BOLIVAR;800248529;No Definido;No Definido;;
MUNICIPIO DE SANTIAGO CALI - SECRETARIA DE PAZ Y CULTURA CIUDADANA;890399011;No Definido;No Definido;;
MUNICIPIO DE MONTERREY;891857824;No Definido;No Definido;;
MUNICIPIO DE CHITA;891801962;No Definido;No Definido;;
AGENCIA PRESIDENCIAL DE COOPERACION INTERNACIONAL DE COLOMBIA;900484852;Distrito Capital de Bogotá;Bogotá;;
SECRETARIA DE PLANEACION;899999114;Distrito Capital de Bogotá;Bogotá;;
INSTITUCION EDUCATIVA DEPARTAMENTAL VENECIA;890680087;Cundinamarca;Venecia;;
UNIDAD PRESTADORA DE SALUD RISARALDA;901362725;Risaralda;Pereira;;
MUNICIPIO DE BARAYA;891180183;No Definido;No Definido;;
INSTITUCIÓN EDUCATIVA DEPARTAMENTAL CAMPO ALEGRE;900014719;Cundinamarca;El Rosal;;
CONTRALORIA MUNICIPAL DEL MUNICIPIO DE SAN JERONIMO DE MONTERIA;800193244;Córdoba;Montería;;
MUNICIPIO SAN CALIXTO;800099260;Norte de Santander;San Calixto;;
MUNICIPIO DE SANTIAGO DE CALI - DEPARTAMENTO ADMINISTRATIVO DE CONTROL INTERNO;890399011;Valle del Cauca;No Definido;;
ALCALDIA MUNICIPIO DE DOSQUEBRADAS;800099310;No Definido;No Definido;;
MUNICIPIO DE SALADOBLANCO;891180180;Huila;Saladoblanco;;
INSTITUCION EDUCATIVA DEPARTAMENTAL SANTA HELENA;808003801;No Definido;No Definido;;
SENA REGIONAL HUILA GRUPO ADMINISTRATIVO CDATH;899999034;Huila;La Plata;;
Rama Judicial- Dirección Seccional de Administración Judicial de Bogotá;800165862;No Definido;No Definido;;
INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL NARIÑO;899999069;Nariño;Nariño;;
UNIDAD PRESTADORA DE SALUD ANTIOQUIA;901363087;Antioquia;Envigado;;
MINISTERIO DEL TRABAJO DIRECCION TERRITORIAL DEL PUTUMAYO;846003227;Putumayo;Mocoa;;
PERSONERIA MUNICIPAL DE ROVIRA;809003405;Tolima;Rovira;;
EMPRESA SOCIAL DEL ESTADO HOSPITAL PROFESOR JORGE CAVELIER;832002436;Cundinamarca;Cajicá;;
CÁRCEL Y PENITENCIARIA CON ALTA Y MEDIANA SEGURIDAD EL BARNE  CPAMSEB;8200009822;Boyacá;Cómbita;;
DEPARTAMENTO DE POLICIA VICHADA - AREA SANIDAD;842000015;Vichada;Puerto Carreño;;
CONSEJO PROFESIONAL NACIONAL DE INGENIERIA;800214417;Distrito Capital de Bogotá;Bogotá;;
HOSPITAL MILITAR CENTRAL;830040256;Distrito Capital de Bogotá;No Definido;;
INSTITUTO PARA LA RECREACIÓN; EL DEPORTE; LA EDUCACIÓN EXTRAESCOLAR Y EL APROVECHAMIENTO DEL TIEMPO LIBRE EN EL DEPARTAMENTO DE CASANARE;844003345;Casanare;Yopal
ALCALDIA MUNICIPAL RESTREPO META;800098199;Meta;Restrepo;;
FONDO DE VIVIENDA DE INTERES SOCIAL Y REFORMA URBANA DE VALLEDUPAR;800124740;Cesar;Valledupar;;
INSTITUCION EDUCATIVA JOSE ACEVEDO Y GOMEZ;900000010;Valle del Cauca;Restrepo;;
CONTRALORIA GENERAL DE LA REPUBLICA GERENCIA DEPARTAMENTAL COLEGIADA DE BOLIVAR;899999067;Bolívar;Cartagena;;
INSTITUCION EDUCATIVA RAFAEL NAVIA VARON;805027641;Valle del Cauca;Cali;;
INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL QUINDÍO;899999069;Quindío;Armenia;;
GOBERNACION DEL DEPARTAMENTO DEL CESAR;892399999;Cesar;Valledupar;;
SENA REGIONAL CAUCA Centro agropecuario;899999034;Cauca;Popayán;;
ESTABLECIMIENTO PUBLICO AMBIENTAL DE CARTAGENA;806013999;Bolívar;Cartagena;;
PERSONERIA MUNICIPAL DE GIRON;804008916;Santander;Girón;;
PERSONERIA DISTRITAL DE CARTAGENA;806000084;Bolívar;Cartagena;;
CORPORACION AUTONOMA REGIONAL DE NARIÑO;891222322;No Definido;No Definido;;
POLICIA METROPOLITA DE CARTAGENA DE INDIAS -AREA DE SANIDAD BOLIVAR;900149064;No Definido;No Definido;;
AGENCIA LOGISTICA DE LAS FUERZAS MILITARES;899999162;Distrito Capital de Bogotá;Bogotá;;
MUNICIPIO DE SUCRE;817003440;Cauca;Sucre;;
FONDO PARA EL FINANCIAMIENTO DEL SECTOR AGROPECUARIO;800116398;Arauca;Arauca;;
MUNICIPIO DE BUENAVISTA - BOYACA;891808260;No Definido;No Definido;;
SENA REGIONAL CUNDINAMARCA Grupo Administrativo CDAE;899999034;Arauca;Arauca;;
EMPRESAS PUBLICAS MUNICIPALES DE SEVILLA E.S.P EN LIQUIDACION;891900474;Valle del Cauca;Sevilla;;
FONDO UNICO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES;800131648;Distrito Capital de Bogotá;Bogotá;;
AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES - ANLA;900467239;Distrito Capital de Bogotá;No Definido;;
GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE VIVIENDA Y HABITAT;8903990295;Valle del Cauca;Cali;;
SENA HOTELERIA TURISMO Y ALIMENTOS;8999990341;Arauca;Arauca;;
Alcaldía de la Localidad Histórica y del Caribe Norte;8904801844;No Definido;No Definido;;
MINISTERIO DEL INTERIOR;830114475;No Definido;No Definido;;
ALCALDIA LOCAL DE USME;899999061;Distrito Capital de Bogotá;Bogotá;;
DIRECCION GENERAL MARITIMA-DIMAR;830027904;No Definido;No Definido;;
EMPRESA DE SERVICIOS PUBLICOS DE TENJO SA ESP;900149883;Cundinamarca;Tenjo;;
SERVICIO NACIONAL DE APRENDIZAJE - SENA MAGDALENA;8999990341;Magdalena;Santa Marta;;
RAMA JUDICIAL - DIRECCIÓN SECCIONAL DE ADMINISTRACIÓN JUDICIAL DE VILLAVICENCIO;8220012289;Meta;Villavicencio;;
MUNICIPIO DE PURIFICACION;890701077;No Definido;No Definido;;
VEEDURIA DISTRITAL;899999061;Distrito Capital de Bogotá;Bogotá;;
FONDO DE PASIVO SOCIAL DE FERROCARRILES NACIONALES DE COLOMBIA;800112806;Distrito Capital de Bogotá;Bogotá;;
MUNICIPIO DE GUADALUPE;891180177;Huila;Guadalupe;;
GOBERNACION DE CORDOBA;800103935;Córdoba;Montería;;
SENA REGIONAL ANTIOQUIA Grupo Administrativo CTMAE;899999034;Antioquia;Puerto Berrío;;
ALCALDIA MUNICIPIO DE AMBALEMA;800100048;No Definido;No Definido;;
GOBERNACIÓN DE CUNDINAMARCA - DESPACHO DEL GOBERNADOR;899999114;No Definido;No Definido;;
INSTITUTO COLOMBIANO DE ANTROPOLOGIA E HISTORIA;830067892;Distrito Capital de Bogotá;No Definido;;
ALCALDIA MUNICIPIO DE ARAUCA;800102504;No Definido;No Definido;;
HOSPITAL DEPARTAMENTAL FELIPE SUAREZ E.S.E;890801026;Caldas;Manizales;;
GOBERNACION DE CUNDINAMARCA - SECRETARIA DE INTEGRACION REGIONAL;899999114;Distrito Capital de Bogotá;No Definido;;
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE PALMIRA;815000974;Valle del Cauca;No Definido;;
MINISTERIO DE COMERCIO INDUSTRIA Y TURISMO;830115297;Distrito Capital de Bogotá;Bogotá;;
SENA REGIONAL VALLE Grupo Administrativo CBI;899999034;Valle del Cauca;Palmira;;
LOTERÍA DE SANTANDER;890201725;Santander;Bucaramanga;;
MUNICIPIO DE PLATO;891780051;Magdalena;Plato;;
ESAP TERRITORIAL HUILA-CAQUETA Y BAJO PUTUMAYO;813006956;Huila;Neiva;;
CENTRO EDUCATVO LUIS A BRITO;825003273;La Guajira;Barrancas;;
ALCALDIA DEL MUNICIPIO DE AGUAZUL;891855200;No Definido;No Definido;;
INSTITUCION EDUCATIVA RURAL DE CARACOLI;900014608;La Guajira;San Juan Del Cesar;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DEL GUAMO;809003292;Distrito Capital de Bogotá;Bogotá;;
Rama Judicial  Dirección Seccional de Administración Judicial de Manizales;800165850;Caldas;Manizales;;
COMPLEJO CARCELARIO Y PENITENCIARIO DE JAMUNDI;900577346;Valle del Cauca;Jamundí;;
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P;818001629;Distrito Capital de Bogotá;Bogotá;;
CORPORACION AUTONOMA REGIONAL DEL GUAVIO - CORPOGUAVIO;832000171;Cundinamarca;Gachala;;
REGIONAL DE ASEGURAMIENTO EN SALUD N° 8;802016407;No Definido;No Definido;;
Rama Judicial  Dirección Seccional de Administración Judicial de Bucaramanga;800165941;Santander;Bucaramanga;;
INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL BOLIVAR;899999069;Bolívar;Cartagena;;
SENA REGIONAL BOLIVAR Grupo Administrativo CINFP;899999034;Bolívar;Cartagena;;
Rama Judicial  Dirección Seccional de Administración Judicial de Barranquilla;800165799;Atlántico;Barranquilla;;
INSTITUTO DE LA RECREACION Y EL DEPORTE DE TUNJA- IRDET;820000807;Boyacá;Tunja;;
SECRETARIA DISTRITAL DEL HABITAT;899999061;Distrito Capital de Bogotá;Bogotá;;
CORPORACION AUTONOMA REGIONAL DE CALDAS CORPOCALDAS;890803005;No Definido;No Definido;;
PERSONERIA MUNICIPAL  DE SAN PEDRO  SUCRE;823000133;Sucre;San Pedro;;
INSTITUTO MUNICIPAL DE DEPORTE Y LA RECREACION DEL MUNICIPIO DE ARROYOHONDO;806016764;Bolívar;Arroyohondo;;
DIRECCION TERRITORIAL NARIÑO DEL MINISTERIO DE TRABAJO;800216942;Nariño;Pasto;;
ASOCIACION DE MUNICIPIOS DE LA CUENCA DEL ATRATO Y DEL DARIEN;901010574;Antioquia;Vigía Del Fuerte;;
SENA REGIONAL ANTIOQUIA Grupo Administrativo CFMA;899999034;Antioquia;El Bagre;;
SUPERINTENDENCIA DE LA ECONOMIA SOLIDARIA;830053043;Distrito Capital de Bogotá;Bogotá;;
INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL TOLIMA;899999069;Tolima;Ibagué;;
ALCALDIA MUNICIPAL DE PUENTE NACIONAL;890209299;Santander;Puente Nacional;;
INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR;899999239;Guainía;Inírida;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE YARUMAL INPEC;811010125;Antioquia;Yarumal;;
INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR REGIONAL BOYACA;899999239;Boyacá;No Definido;;
JUNTA MUNICIPAL DE DEPORTES Y RECREACION COPACABANA ANTIOQUIA;890985016;Antioquia;Copacabana;;
GOBERNACION DEL VALLE DEL CAUCA - DEPARTAMENTO ADMINISTRATIVO DE PLANEACION;890399029;Valle del Cauca;Cali;;
CONTRALORIA DEPARTAMENTAL DEL TOLIMA;890706847;Tolima;Ibagué;;
INSPECCIÓN DE TRANSPORTE Y TRÁNSITO MUNICIPAL EL CARMEN DE BOLÍVAR;800115099;Bolívar;El Carmen De Bolívar;;
MUNICIPIO DE COMBITA;891801932;Boyacá;No Definido;;
