Entidad;Nit Entidad;Departamento Entidad;Ciudad Entidad;;
INSTITUTO DE DESARROLLO MUNICIPAL DE DOSQUEBRADAS;816005795;Risaralda;Dosquebradas;;
HOSPITAL ISMAEL ROLDAN VALENCIA;818001019;Distrito Capital de Bogotá;Bogotá;;
INSTITUCION EDUCATIVA RURAL DEPARTAMENTAL DE SUBIA;808003762;Cundinamarca;Silvania;;
ESE HOSPITAL DEPARTAMENTAL SAN JOSÉ DE   MARULANDA;890805260;No Definido;No Definido;;
COMPLEJO CARCELARIO Y PENITENCIARIO CON ALTA; MEDIA Y MÍNIMA SEGURIDAD DE BOGOTA COBOG INPEC;830032532;Distrito Capital de Bogotá;Bogotá;
CENTRAL ADMINISTRATIVA Y CONTABLE REGIONAL TOLEMAIDA - CENAC TOLEMAIDA;800131049;Cundinamarca;Nilo;;
ALCALDÍA DEL DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS;890480184;Bolívar;Cartagena;;
PERSONERÍA MUNICIPAL DE PIEDECUESTA;890205383;Santander;Piedecuesta;;
MUNICIPIO DE TOCANCIPA;899999428;Cundinamarca;Tocancipá;;
ALCALDIA MUNICIPIO DE TOTORO;800031874;No Definido;No Definido;;
INSTITUTO DE INVESTIGACIONES AMBIENTALES DEL PACIFICO;818000156;Chocó;Quibdó;;
EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO ADMINISTRADORA DEL MONOPOLIO RENTISTICO DE LOS JUEGOS DE SUERTE Y AZAR;900505060;Distrito Capital de Bogotá;No Definido;;
CENTRO DE FORMACION INTEGRAL PARA EL TRABAJO - CEFIT;811031876;Antioquia;Envigado;;
INSTITUCIÓN EDUCATIVA RAFAEL J MEJÍA;811019263;Antioquia;Sabaneta;;
CONTRALORIA GENERAL DEL DEPARTAMENTO DE RISARALDA;891411091;Risaralda;Pereira;;
ALCALDIA MUNICIPAL DE TURBACO BOLIVAR;890481149;No Definido;No Definido;;
Secretaria Distrital de Integración social...;8999990611;No Definido;No Definido;;
MUNICIPIO DE SANTIAGO DE CALI - SECRETARIA DE MOVILIDAD;890399011;Valle del Cauca;Cali;;
INSTITUCION EDUCATIVA TECNICA ALVARO MOLINA;900025525;Tolima;Chaparral;;
